SP,35052,Bananal,-23.9306995,-48.4392663
SP,35054,Caraguatatuba,-23.62028,-45.41306
SP,35057,Osasco,-23.5324859,-46.7916801
SP,35058,Franco da Rocha,-23.3328038,-46.724446
SP,35059,Guarulhos,-23.4428948,-46.5243855
SP,35061,São Paulo,-23.5506507,-46.6333824
SP,35063,Santos,-23.9335988,-46.3286399
PR,41001,Paranavaí,-23.08165,-52.461724
PR,41003,Cianorte,-23.662036,-52.6103989
PR,41004,Goioerê,-24.1851885,-53.0250623
PR,41005,Campo Mourão,-24.046329,-52.37802
PR,41007,Porecatu,-22.753724,-51.37949
PR,41008,Floraí,-23.3206134,-52.3009856
PR,41009,Maringá,-23.425269,-51.9382078
PR,41010,Apucarana,-23.5525327,-51.4610764
PR,41011,Londrina,-23.3112878,-51.1595023
PR,41012,Faxinal,-24.001212,-51.3222727
PR,41013,Ivaiporã,-24.2433517,-51.6719268
PR,41014,Assaí,-23.3736041,-50.8454929
PR,41015,Cornélio Procópio,-23.1825218,-50.6499263
PR,41016,Jacarezinho,-23.159115,-49.973889
PR,41017,Ibaiti,-23.7626982,-50.263227
PR,41018,Wenceslau Braz,-23.8748841,-49.8035872
PR,41019,Telêmaco Borba,-24.3282939,-50.6318021
PR,41020,Jaguariaíva,-24.2589699,-49.7201518
PR,41021,Ponta Grossa,-25.0891685,-50.1601812
PR,41022,Toledo,-24.7222438,-53.7402476
PR,41023,Cascavel,-24.9554996,-53.4560544
PR,41024,Foz do Iguaçu,-25.5401479,-54.5858139
PR,41025,Capanema,-25.6704878,-53.8083036
PR,41026,Francisco Beltrão,-26.0790979,-53.0533527
PR,41027,Pato Branco,-26.2295984,-52.6712474
PR,41028,Pitanga,-24.759586,-51.7637582
PR,41029,Guarapuava,-25.3950986,-51.4622016
PR,41030,Palmas,-10.16123675,-48.30988261616797
PR,41031,Prudentópolis,-25.1819439,-50.9236107
PR,41032,Irati,-25.469663,-50.649287
PR,41033,União da Vitória,-26.228596,-51.0869796
PR,41034,São Mateus do Sul,-25.866823,-50.382796
PR,41035,Cerro Azul,-26.0890616,-52.8691026
